city,companyShortName,education,industryField,positionName,salary,workYear
北京,工商管理专修学院,"
15k-20k
经验5-10年 / 大专
                    ","
                    教育 / 未融资 / 2000人以上
                ",高校HTML5前端开发讲师,15k-20k,"
15k-20k
经验5-10年 / 大专
                    "
北京,360,"
20k-35k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",web前端工程师,20k-35k,"
20k-35k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验3-5年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验5-10年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端工程师,20k-40k,"
20k-40k
经验5-10年 / 本科
                    "
北京,360,"
25k-30k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",WEB前端工程师,25k-30k,"
25k-30k
经验3-5年 / 本科
                    "
北京,知网,"
13k-18k
经验3-5年 / 本科
                    ","
                    移动互联网,电商 / 上市公司 / 2000人以上
                ",Web前端工程师,13k-18k,"
13k-18k
经验3-5年 / 本科
                    "
北京,天眼查,"
20k-40k
经验不限 / 不限
                    ","
                    数据服务 / 不需要融资 / 500-2000人
                ",Web前端工程师,20k-40k,"
20k-40k
经验不限 / 不限
                    "
北京,平安科技,"
15k-30k
经验5-10年 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",11312Q-web前端开发工程师（北京）,15k-30k,"
15k-30k
经验5-10年 / 本科
                    "
北京,中科智加,"
10k-20k
经验1-3年 / 本科
                    ","
                    移动互联网,数据服务 / 不需要融资 / 50-150人
                ",web前端工程师,10k-20k,"
10k-20k
经验1-3年 / 本科
                    "
北京,火花思维,"
15k-25k
经验1-3年 / 本科
                    ","
                    移动互联网,教育 / D轮及以上 / 2000人以上
                ",web前端工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,创客贴,"
15k-25k
经验1-3年 / 本科
                    ","
                    文娱丨内容,消费生活 / A轮 / 50-150人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,泰康保险集团,"
20k-40k
经验不限 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验不限 / 本科
                    "
北京,Easy Group,"
15k-25k
经验1-3年 / 本科
                    ","
                    教育 / A轮 / 500-2000人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,小牛电动车,"
10k-18k
经验3-5年 / 本科
                    ","
                    电商,硬件 / 上市公司 / 500-2000人
                ",web前端开发工程师,10k-18k,"
10k-18k
经验3-5年 / 本科
                    "
北京,工商管理专修学院,"
15k-20k
经验5-10年 / 大专
                    ","
                    教育 / 未融资 / 2000人以上
                ",高校HTML5前端开发讲师,15k-20k,"
15k-20k
经验5-10年 / 大专
                    "
北京,360,"
20k-35k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",web前端工程师,20k-35k,"
20k-35k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验3-5年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验5-10年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端工程师,20k-40k,"
20k-40k
经验5-10年 / 本科
                    "
北京,360,"
25k-30k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",WEB前端工程师,25k-30k,"
25k-30k
经验3-5年 / 本科
                    "
北京,知网,"
13k-18k
经验3-5年 / 本科
                    ","
                    移动互联网,电商 / 上市公司 / 2000人以上
                ",Web前端工程师,13k-18k,"
13k-18k
经验3-5年 / 本科
                    "
北京,天眼查,"
20k-40k
经验不限 / 不限
                    ","
                    数据服务 / 不需要融资 / 500-2000人
                ",Web前端工程师,20k-40k,"
20k-40k
经验不限 / 不限
                    "
北京,平安科技,"
15k-30k
经验5-10年 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",11312Q-web前端开发工程师（北京）,15k-30k,"
15k-30k
经验5-10年 / 本科
                    "
北京,中科智加,"
10k-20k
经验1-3年 / 本科
                    ","
                    移动互联网,数据服务 / 不需要融资 / 50-150人
                ",web前端工程师,10k-20k,"
10k-20k
经验1-3年 / 本科
                    "
北京,火花思维,"
15k-25k
经验1-3年 / 本科
                    ","
                    移动互联网,教育 / D轮及以上 / 2000人以上
                ",web前端工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,创客贴,"
15k-25k
经验1-3年 / 本科
                    ","
                    文娱丨内容,消费生活 / A轮 / 50-150人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,泰康保险集团,"
20k-40k
经验不限 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验不限 / 本科
                    "
北京,Easy Group,"
15k-25k
经验1-3年 / 本科
                    ","
                    教育 / A轮 / 500-2000人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,小牛电动车,"
10k-18k
经验3-5年 / 本科
                    ","
                    电商,硬件 / 上市公司 / 500-2000人
                ",web前端开发工程师,10k-18k,"
10k-18k
经验3-5年 / 本科
                    "
北京,工商管理专修学院,"
15k-20k
经验5-10年 / 大专
                    ","
                    教育 / 未融资 / 2000人以上
                ",高校HTML5前端开发讲师,15k-20k,"
15k-20k
经验5-10年 / 大专
                    "
北京,360,"
20k-35k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",web前端工程师,20k-35k,"
20k-35k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验3-5年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验5-10年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端工程师,20k-40k,"
20k-40k
经验5-10年 / 本科
                    "
北京,360,"
25k-30k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",WEB前端工程师,25k-30k,"
25k-30k
经验3-5年 / 本科
                    "
北京,知网,"
13k-18k
经验3-5年 / 本科
                    ","
                    移动互联网,电商 / 上市公司 / 2000人以上
                ",Web前端工程师,13k-18k,"
13k-18k
经验3-5年 / 本科
                    "
北京,天眼查,"
20k-40k
经验不限 / 不限
                    ","
                    数据服务 / 不需要融资 / 500-2000人
                ",Web前端工程师,20k-40k,"
20k-40k
经验不限 / 不限
                    "
北京,平安科技,"
15k-30k
经验5-10年 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",11312Q-web前端开发工程师（北京）,15k-30k,"
15k-30k
经验5-10年 / 本科
                    "
北京,中科智加,"
10k-20k
经验1-3年 / 本科
                    ","
                    移动互联网,数据服务 / 不需要融资 / 50-150人
                ",web前端工程师,10k-20k,"
10k-20k
经验1-3年 / 本科
                    "
北京,火花思维,"
15k-25k
经验1-3年 / 本科
                    ","
                    移动互联网,教育 / D轮及以上 / 2000人以上
                ",web前端工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,创客贴,"
15k-25k
经验1-3年 / 本科
                    ","
                    文娱丨内容,消费生活 / A轮 / 50-150人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,泰康保险集团,"
20k-40k
经验不限 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验不限 / 本科
                    "
北京,Easy Group,"
15k-25k
经验1-3年 / 本科
                    ","
                    教育 / A轮 / 500-2000人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,小牛电动车,"
10k-18k
经验3-5年 / 本科
                    ","
                    电商,硬件 / 上市公司 / 500-2000人
                ",web前端开发工程师,10k-18k,"
10k-18k
经验3-5年 / 本科
                    "
北京,工商管理专修学院,"
15k-20k
经验5-10年 / 大专
                    ","
                    教育 / 未融资 / 2000人以上
                ",高校HTML5前端开发讲师,15k-20k,"
15k-20k
经验5-10年 / 大专
                    "
北京,360,"
20k-35k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",web前端工程师,20k-35k,"
20k-35k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验3-5年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验5-10年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端工程师,20k-40k,"
20k-40k
经验5-10年 / 本科
                    "
北京,360,"
25k-30k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",WEB前端工程师,25k-30k,"
25k-30k
经验3-5年 / 本科
                    "
北京,知网,"
13k-18k
经验3-5年 / 本科
                    ","
                    移动互联网,电商 / 上市公司 / 2000人以上
                ",Web前端工程师,13k-18k,"
13k-18k
经验3-5年 / 本科
                    "
北京,天眼查,"
20k-40k
经验不限 / 不限
                    ","
                    数据服务 / 不需要融资 / 500-2000人
                ",Web前端工程师,20k-40k,"
20k-40k
经验不限 / 不限
                    "
北京,平安科技,"
15k-30k
经验5-10年 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",11312Q-web前端开发工程师（北京）,15k-30k,"
15k-30k
经验5-10年 / 本科
                    "
北京,中科智加,"
10k-20k
经验1-3年 / 本科
                    ","
                    移动互联网,数据服务 / 不需要融资 / 50-150人
                ",web前端工程师,10k-20k,"
10k-20k
经验1-3年 / 本科
                    "
北京,火花思维,"
15k-25k
经验1-3年 / 本科
                    ","
                    移动互联网,教育 / D轮及以上 / 2000人以上
                ",web前端工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,创客贴,"
15k-25k
经验1-3年 / 本科
                    ","
                    文娱丨内容,消费生活 / A轮 / 50-150人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,泰康保险集团,"
20k-40k
经验不限 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验不限 / 本科
                    "
北京,Easy Group,"
15k-25k
经验1-3年 / 本科
                    ","
                    教育 / A轮 / 500-2000人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,小牛电动车,"
10k-18k
经验3-5年 / 本科
                    ","
                    电商,硬件 / 上市公司 / 500-2000人
                ",web前端开发工程师,10k-18k,"
10k-18k
经验3-5年 / 本科
                    "
北京,工商管理专修学院,"
15k-20k
经验5-10年 / 大专
                    ","
                    教育 / 未融资 / 2000人以上
                ",高校HTML5前端开发讲师,15k-20k,"
15k-20k
经验5-10年 / 大专
                    "
北京,360,"
20k-35k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",web前端工程师,20k-35k,"
20k-35k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验3-5年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验5-10年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端工程师,20k-40k,"
20k-40k
经验5-10年 / 本科
                    "
北京,360,"
25k-30k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",WEB前端工程师,25k-30k,"
25k-30k
经验3-5年 / 本科
                    "
北京,知网,"
13k-18k
经验3-5年 / 本科
                    ","
                    移动互联网,电商 / 上市公司 / 2000人以上
                ",Web前端工程师,13k-18k,"
13k-18k
经验3-5年 / 本科
                    "
北京,天眼查,"
20k-40k
经验不限 / 不限
                    ","
                    数据服务 / 不需要融资 / 500-2000人
                ",Web前端工程师,20k-40k,"
20k-40k
经验不限 / 不限
                    "
北京,平安科技,"
15k-30k
经验5-10年 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",11312Q-web前端开发工程师（北京）,15k-30k,"
15k-30k
经验5-10年 / 本科
                    "
北京,中科智加,"
10k-20k
经验1-3年 / 本科
                    ","
                    移动互联网,数据服务 / 不需要融资 / 50-150人
                ",web前端工程师,10k-20k,"
10k-20k
经验1-3年 / 本科
                    "
北京,火花思维,"
15k-25k
经验1-3年 / 本科
                    ","
                    移动互联网,教育 / D轮及以上 / 2000人以上
                ",web前端工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,创客贴,"
15k-25k
经验1-3年 / 本科
                    ","
                    文娱丨内容,消费生活 / A轮 / 50-150人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,泰康保险集团,"
20k-40k
经验不限 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验不限 / 本科
                    "
北京,Easy Group,"
15k-25k
经验1-3年 / 本科
                    ","
                    教育 / A轮 / 500-2000人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,小牛电动车,"
10k-18k
经验3-5年 / 本科
                    ","
                    电商,硬件 / 上市公司 / 500-2000人
                ",web前端开发工程师,10k-18k,"
10k-18k
经验3-5年 / 本科
                    "
北京,工商管理专修学院,"
15k-20k
经验5-10年 / 大专
                    ","
                    教育 / 未融资 / 2000人以上
                ",高校HTML5前端开发讲师,15k-20k,"
15k-20k
经验5-10年 / 大专
                    "
北京,360,"
20k-35k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",web前端工程师,20k-35k,"
20k-35k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验3-5年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验5-10年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端工程师,20k-40k,"
20k-40k
经验5-10年 / 本科
                    "
北京,360,"
25k-30k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",WEB前端工程师,25k-30k,"
25k-30k
经验3-5年 / 本科
                    "
北京,知网,"
13k-18k
经验3-5年 / 本科
                    ","
                    移动互联网,电商 / 上市公司 / 2000人以上
                ",Web前端工程师,13k-18k,"
13k-18k
经验3-5年 / 本科
                    "
北京,天眼查,"
20k-40k
经验不限 / 不限
                    ","
                    数据服务 / 不需要融资 / 500-2000人
                ",Web前端工程师,20k-40k,"
20k-40k
经验不限 / 不限
                    "
北京,平安科技,"
15k-30k
经验5-10年 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",11312Q-web前端开发工程师（北京）,15k-30k,"
15k-30k
经验5-10年 / 本科
                    "
北京,中科智加,"
10k-20k
经验1-3年 / 本科
                    ","
                    移动互联网,数据服务 / 不需要融资 / 50-150人
                ",web前端工程师,10k-20k,"
10k-20k
经验1-3年 / 本科
                    "
北京,火花思维,"
15k-25k
经验1-3年 / 本科
                    ","
                    移动互联网,教育 / D轮及以上 / 2000人以上
                ",web前端工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,创客贴,"
15k-25k
经验1-3年 / 本科
                    ","
                    文娱丨内容,消费生活 / A轮 / 50-150人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,泰康保险集团,"
20k-40k
经验不限 / 本科
                    ","
                    金融 / 不需要融资 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验不限 / 本科
                    "
北京,Easy Group,"
15k-25k
经验1-3年 / 本科
                    ","
                    教育 / A轮 / 500-2000人
                ",web前端开发工程师,15k-25k,"
15k-25k
经验1-3年 / 本科
                    "
北京,小牛电动车,"
10k-18k
经验3-5年 / 本科
                    ","
                    电商,硬件 / 上市公司 / 500-2000人
                ",web前端开发工程师,10k-18k,"
10k-18k
经验3-5年 / 本科
                    "
北京,工商管理专修学院,"
15k-20k
经验5-10年 / 大专
                    ","
                    教育 / 未融资 / 2000人以上
                ",高校HTML5前端开发讲师,15k-20k,"
15k-20k
经验5-10年 / 大专
                    "
北京,360,"
20k-35k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",web前端工程师,20k-35k,"
20k-35k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验3-5年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端开发工程师,20k-40k,"
20k-40k
经验3-5年 / 本科
                    "
北京,腾讯,"
20k-40k
经验5-10年 / 本科
                    ","
                    社交 / 上市公司 / 2000人以上
                ",web前端工程师,20k-40k,"
20k-40k
经验5-10年 / 本科
                    "
北京,360,"
25k-30k
经验3-5年 / 本科
                    ","
                    信息安全 / 上市公司 / 2000人以上
                ",WEB前端工程师,25k-30k,"
25k-30k
经验3-5年 / 本科
                    "
